id,recipe_id,calories
1,32,430.0
2,117,784.0
3,96,820.0
4,41,912.0
5,110,313.0
6,63,960.0
7,58,201.0
8,25,810.0
9,52,338.0
10,94,507.0
11,71,353.0
12,11,162.0
13,88,846.0
14,38,124.0
15,59,410.0
16,13,502.0
17,44,124.0
18,51,252.0
19,6,236.0
20,43,225.0
21,114,542.0
22,56,114.0
23,102,706.0
24,9,128.0
25,48,514.0
26,3,79.0
27,45,386.0
28,46,442.0
29,109,370.0
30,10,409.0
31,97,365.0
32,22,779.0
33,69,202.0
34,81,707.0
35,31,631.0
36,33,536.0
37,24,300.0
38,14,308.0
39,74,582.0
40,101,100.0
41,42,919.0
42,21,977.0
43,75,372.0
44,116,441.0
45,4,342.0
46,50,535.0
47,85,188.0
48,40,705.0
49,93,323.0
50,83,506.0
51,28,694.0
52,7,550.0
53,49,645.0
54,62,604.0
55,65,509.0
56,100,200.0
57,57,599.0
58,18,282.0
59,78,600.0
60,90,517.0
61,47,425.0
62,2,411.0
63,106,450.0
64,20,306.0
65,113,634.0
66,60,328.0
67,12,469.0
68,104,214.0
69,16,642.0
70,15,262.0
71,26,326.0
72,66,424.0
73,95,457.0
74,111,342.0
75,80,638.0
76,103,473.0
77,84,540.0
78,17,408.0
79,108,486.0
80,79,506.0
81,64,463.0
82,36,283.0
83,54,277.0
84,72,300.0
85,27,261.0
86,30,443.0
87,73,383.0
88,23,352.0
89,5,549.0
90,8,628.0
91,107,588.0
92,115,316.0
93,39,262.0
94,19,672.0
95,70,412.0
96,86,207.0
97,53,309.0
98,76,655.0
99,67,597.0
100,105,248.0
101,112,664.0
102,77,403.0
103,98,566.0
104,35,619.0
105,68,665.0
106,55,424.0
107,82,627.0
108,91,352.0
109,61,663.0
110,34,249.0
111,37,205.0
112,29,400.0
113,99,298.0
114,118,500.0
115,119,500.0
116,120,500.0
117,121,500.0
118,122,500.0
119,123,500.0
120,124,500.0
121,125,500.0
122,126,500.0
123,127,500.0
124,128,500.0
125,129,500.0
126,130,500.0
127,131,500.0
128,132,500.0
129,133,500.0
130,134,500.0
131,135,500.0
132,136,500.0
133,137,500.0
134,138,500.0
135,139,500.0
136,140,500.0
137,141,500.0
138,142,500.0
139,143,500.0
140,144,500.0
141,145,500.0
142,146,500.0
143,147,500.0
144,148,500.0
145,149,500.0
146,150,500.0
147,151,500.0
148,152,500.0
149,153,500.0
150,154,500.0
151,155,500.0
152,156,500.0
153,157,500.0
154,158,500.0
155,159,500.0
156,160,500.0
157,161,500.0
158,162,500.0
159,163,500.0
160,164,500.0
161,165,500.0
162,166,500.0
163,167,500.0
164,168,500.0
165,169,500.0
166,170,500.0
167,171,500.0
168,172,500.0
169,173,500.0
170,174,500.0
171,175,500.0
172,176,500.0
173,177,500.0
174,178,500.0
175,179,500.0
176,180,500.0
177,181,500.0
178,182,500.0
179,183,500.0
180,184,500.0
181,185,500.0
182,186,500.0
183,187,500.0
184,188,500.0
185,189,500.0
186,190,500.0
187,191,500.0
188,192,500.0
189,193,500.0
190,194,500.0
191,195,500.0
192,196,500.0
193,197,500.0
194,198,500.0
195,199,500.0
196,200,500.0
197,201,500.0
198,202,500.0
199,203,500.0
200,204,500.0
201,205,500.0
202,206,500.0
203,207,500.0
204,208,500.0
205,209,500.0
206,210,500.0
207,211,500.0
208,212,500.0
209,213,500.0
210,214,500.0
211,215,500.0
212,216,500.0
213,217,500.0
214,218,500.0
215,219,500.0
216,220,500.0
217,221,500.0
218,222,500.0
219,223,500.0
220,224,500.0
221,225,500.0
222,226,500.0
223,227,500.0
224,228,500.0
225,229,500.0
226,230,500.0
227,231,500.0
228,232,500.0
229,233,500.0
230,234,500.0
231,235,500.0
232,236,500.0
233,237,500.0
234,238,500.0
